Question,Choice1,Choice2,Choice3,Choice4,Correct_Choice
Which planet is known as the Red Planet?,Mars,Jupiter,Earth,Venus,Mars
Who wrote 'To Kill a Mockingbird'?,Mark Twain,Harper Lee,Ernest Hemingway,J.K. Rowling,J.K. Rowling
What is the hardest natural substance on Earth?,Iron,Graphite,Gold,Diamond,Iron
In which year did the Titanic sink?,1905,1912,1915,1920,1912
In which year did the Titanic sink?,1920,1905,1912,1915,1905
In which year did the Titanic sink?,1920,1905,1912,1915,1920
In which year did the Titanic sink?,1915,1905,1920,1912,1920
What is the capital of France?,Berlin,Madrid,Rome,Paris,Paris
What is the capital of France?,Berlin,Madrid,Paris,Rome,Berlin
What is the capital of France?,Madrid,Paris,Rome,Berlin,Berlin
Which country is home to the kangaroo?,Canada,South Africa,India,Australia,Australia
Who wrote 'To Kill a Mockingbird'?,Mark Twain,Ernest Hemingway,J.K. Rowling,Harper Lee,Mark Twain
Which country is home to the kangaroo?,India,Australia,Canada,South Africa,Canada
Who wrote 'To Kill a Mockingbird'?,Mark Twain,Ernest Hemingway,Harper Lee,J.K. Rowling,Mark Twain
Which country is home to the kangaroo?,India,Canada,Australia,South Africa,India
Who wrote 'To Kill a Mockingbird'?,Mark Twain,J.K. Rowling,Harper Lee,Ernest Hemingway,Mark Twain
What is the capital of France?,Madrid,Rome,Paris,Berlin,Madrid
In which year did the Titanic sink?,1912,1920,1915,1905,1915
What is the capital of France?,Rome,Berlin,Madrid,Paris,Madrid
What is the powerhouse of the cell?,Nucleus,Mitochondria,Ribosome,Golgi apparatus,Golgi apparatus
Which planet is known as the Red Planet?,Mars,Earth,Venus,Jupiter,Mars
Which planet is known as the Red Planet?,Mars,Jupiter,Earth,Venus,Mars
